NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_XY, STRESS_XZ, STRESS_YY, STRESS_YZ, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_XZ, STRAIN_YY, STRAIN_YZ, STRAIN_ZZ
21, 3.166506874743e-17, 0.000000000000e+00, 0.000000000000e+00, -6.376500000000e+04, 3.622576145605e-10, -9.039777186670e-10, -6.376500000000e+04, -1.583525049005e-10, -2.550600000000e+05, 4.597836205503e-17, 4.347091374726e-17, -1.084773262400e-16, -4.288920191413e-19, -1.900230058806e-17, -1.147770000000e-02
22, -7.360236279973e-17, 0.000000000000e+00, 0.000000000000e+00, -6.376500000000e+04, -1.304257887092e-09, 8.747827539649e-10, -6.376500000000e+04, -7.173616685338e-11, -2.550600000000e+05, 9.856774213231e-17, -1.565109464510e-16, 1.049739304758e-16, 1.306099551252e-17, -8.608340022406e-18, -1.147770000000e-02
23, -1.358812987458e-16, 0.000000000000e+00, 0.000000000000e+00, -6.376500000000e+04, -2.762722235065e-09, 1.879784997591e-09, -6.376500000000e+04, -9.307288148217e-11, -2.550600000000e+05, -2.032612028718e-17, -3.315266682078e-16, 2.255741997109e-16, -1.133991398060e-17, -1.116874577786e-17, -1.147770000000e-02
24, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, -6.376500000001e+04, -3.752125546985e-11, -2.424696557895e-10, -6.376500000000e+04, -2.576389235006e-10, -2.550600000000e+05, -2.153035213296e-16, -4.502550656382e-18, -2.909635869474e-17, 5.786870793421e-18, -3.091667082008e-17, -1.147770000000e-02
25, 0.000000000000e+00, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, 3.848866147266e-11, 2.055998355577e-09, -4.782375000001e+04, 2.017439920264e-09, -1.912950000000e+05, -1.043082390531e-16, 4.618639376719e-18, 2.467198026692e-16, -3.002180179259e-16, 2.420927904317e-16, -8.608275000000e-03
26, 8.602875383665e-17, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, -1.494940852556e-09, 2.335292036197e-10, -4.782375000001e+04, 2.915450460187e-09, -1.912950000000e+05, 6.504624007693e-18, -1.793929023068e-16, 2.802350443436e-17, -2.766682204603e-16, 3.498540552225e-16, -8.608275000000e-03
27, -1.635642066720e-17, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, 3.910540307199e-10, -4.842094805780e-10, -4.782375000000e+04, 2.151580068850e-09, -1.912950000000e+05, 1.149703697199e-16, 4.692648368638e-17, -5.810513766936e-17, -2.473919221952e-16, 2.581896082620e-16, -8.608275000000e-03
28, -9.020995272337e-17, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, 1.878096308371e-09, -2.120171029633e-09, -4.782375000001e+04, -3.223410017863e-11, -1.912950000000e+05, -3.490092016333e-18, 2.253715570045e-16, -2.544205235559e-16, -2.395981180755e-16, -3.868092021436e-18, -8.608275000000e-03
29, 0.000000000000e+00, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, 2.964723551519e-11, 9.795483557858e-10, -4.782375000001e+04, 1.344102814939e-09, -1.912950000000e+05, -1.316615643694e-16, 3.557668261823e-18, 1.175458026943e-16, -2.169047128032e-16, 1.612923377927e-16, -8.608275000000e-03
30, 0.000000000000e+00, 2.151656904312e-16, -2.510746875000e-02, -4.782375000000e+04, -3.693896578863e-09, 2.317365795255e-09, -4.782375000000e+04, 9.328863907005e-10, -1.912950000000e+05, -8.499255612319e-17, -4.432675894636e-16, 2.780838954306e-16, -1.195499186579e-16, 1.119463668841e-16, -8.608275000000e-03
31, 7.740328194697e-17, 1.930852334971e-16, -2.510746875000e-02, -4.782375000000e+04, 4.567540333957e-10, 7.407305591728e-10, -4.782375000000e+04, 1.017534461951e-09, -1.912950000000e+05, 1.156561003879e-17, 5.481048400748e-17, 8.888766710074e-17, -1.148922909323e-16, 1.221041354342e-16, -8.608275000000e-03
32, -1.645052312695e-17, 1.807508754924e-16, -2.510746875000e-02, -4.782375000000e+04, 1.872868532221e-10, -1.425339990734e-09, -4.782375000000e+04, 6.660958255684e-10, -1.912950000000e+05, 1.048899498656e-16, 2.247442238665e-17, -1.710407988881e-16, -1.140429643223e-16, 7.993149906820e-17, -8.608275000000e-03
33, -9.882029384608e-17, 1.816461825098e-16, -2.510746875000e-02, -4.782375000000e+04, 1.194625514061e-12, -1.928632791918e-09, -4.782375000000e+04, 3.104397760350e-10, -1.912950000000e+05, -4.303116918587e-18, 1.433550616873e-19, -2.314359350302e-16, -1.229508702563e-16, 3.725277312420e-17, -8.608275000000e-03
34, 0.000000000000e+00, 1.678430867469e-16, -2.510746875000e-02, -4.782375000000e+04, 3.342178543368e-09, 9.688547836430e-10, -4.782375000000e+04, -2.706644590766e-10, -1.912950000000e+05, -1.393123298484e-16, 4.010614252041e-16, 1.162625740372e-16, -1.546335766530e-16, -3.247973508919e-17, -8.608275000000e-03
35, 0.000000000000e+00, 1.670765896124e-16, -2.510746875000e-02, -4.782375000000e+04, -3.093010443791e-09, 2.805781379559e-09, -4.782375000000e+04, 7.047702627565e-11, -1.912950000000e+05, -3.270071732870e-17, -3.711612532549e-16, 3.366937655471e-16, 1.293438622589e-16, 8.457243153078e-18, -8.608275000000e-03
36, 5.289597410535e-17, 1.577563088395e-16, -2.510746875000e-02, -4.782375000000e+04, 1.188529090159e-10, -6.418379358101e-10, -4.782375000000e+04, -3.972344249647e-10, -1.912950000000e+05, 1.324149321256e-17, 1.426234908191e-17, -7.702055229721e-17, 1.027406488549e-16, -4.766813099576e-17, -8.608275000000e-03
37, -3.141976508052e-17, 1.564604673577e-16, -2.510746875000e-02, -4.782375000000e+04, 8.764116271489e-11, -1.108819425961e-09, -4.782375000000e+04, -8.755509361765e-10, -1.912950000000e+05, 8.614235776307e-17, 1.051693952579e-17, -1.330583311153e-16, 8.473447943774e-17, -1.050661123412e-16, -8.608275000000e-03
38, -1.027563807247e-16, 1.540714731377e-16, -2.510746875000e-02, -4.782375000000e+04, -5.925777166860e-11, -2.400400503887e-09, -4.782375000000e+04, -1.332901251387e-09, -1.912950000000e+05, -3.263895903284e-17, -7.110932600232e-18, -2.880480604665e-16, 9.542167247887e-17, -1.599481501664e-16, -8.608275000000e-03
39, 0.000000000000e+00, 1.783418774159e-16, -2.510746875000e-02, -4.782375000000e+04, 3.094056464813e-09, 2.971419934292e-09, -4.782375000000e+04, -7.005274968712e-10, -1.912950000000e+05, -1.007890665569e-16, 3.712867757776e-16, 3.565703921150e-16, 1.030267702867e-16, -8.406329962455e-17, -8.608275000000e-03
40, 0.000000000000e+00, 1.065957298478e-17, -2.510746875000e-02, -4.782375000000e+04, -4.041178287110e-10, 5.664152403341e-10, -4.782375000000e+04, -1.188470742145e-09, -1.912950000000e+05, -4.745893690279e-17, -4.849413944532e-17, 6.796982884009e-17, 1.354834979634e-16, -1.426164890574e-16, -8.608275000000e-03
41, 5.819286384472e-17, 2.499372005591e-17, -2.510746875000e-02, -4.782375000000e+04, -3.637522433904e-10, -2.138970633419e-10, -4.782375000000e+04, -1.660231589580e-09, -1.912950000000e+05, 1.459357753839e-17, -4.365026920685e-17, -2.566764760103e-17, 1.126829987631e-16, -1.992277907496e-16, -8.608275000000e-03
42, -4.236035427713e-17, 3.731507654928e-17, -2.510746875000e-02, -4.782375000000e+04, -5.005129171103e-12, -1.686280896876e-09, -4.782375000000e+04, -1.717127287693e-09, -1.912950000000e+05, 9.820963136562e-17, -6.006155005324e-19, -2.023537076251e-16, 9.966812707202e-17, -2.060552745232e-16, -8.608275000000e-03
43, -1.072205185632e-16, 5.028091707336e-17, -2.510746875000e-02, -4.782375000000e+04, -7.904987435847e-12, -2.331574434142e-09, -4.782375000000e+04, -1.760839851927e-09, -1.912950000000e+05, -2.922806612933e-17, -9.485984923016e-19, -2.797889320970e-16, 1.035822529843e-16, -2.113007822312e-16, -8.608275000000e-03
44, 0.000000000000e+00, 4.757954133308e-17, -2.510746875000e-02, -4.782375000000e+04, 9.796940109487e-10, 3.825795755313e-09, -4.782375000000e+04, -2.158951169253e-09, -1.912950000000e+05, -1.196913486466e-16, 1.175632813138e-16, 4.590954906376e-16, 1.320218485431e-16, -2.590741403103e-16, -8.608275000000e-03
45, 0.000000000000e+00, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, -9.133483281937e-11, 8.624459212774e-10, -4.782375000000e+04, -2.523519895046e-10, -1.912950000000e+05, -9.021097479526e-17, -1.096017993832e-17, 1.034935105533e-16, 9.663134797046e-18, -3.028223874056e-17, -8.608275000000e-03
46, 7.111509742159e-17, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, 9.912202246151e-10, -9.919367085157e-10, -4.782375000000e+04, 2.095194487276e-10, -1.912950000000e+05, 2.691949885977e-17, 1.189464269538e-16, -1.190324050219e-16, 7.560550708899e-17, 2.514233384731e-17, -8.608275000000e-03
47, -3.927689456722e-17, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, -9.255027044662e-10, -1.477958423916e-09, -4.782375000000e+04, 1.996094649690e-09, -1.912950000000e+05, 1.211531049900e-16, -1.110603245359e-16, -1.773550108699e-16, 1.066726378202e-16, 2.395313579629e-16, -8.608275000000e-03
48, -1.139338409758e-16, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, -1.965492072261e-09, -2.059560922324e-09, -4.782375000000e+04, 5.223095526677e-09, -1.912950000000e+05, -4.491014886919e-17, -2.358590486713e-16, -2.471473106789e-16, 8.749200766177e-17, 6.267714632013e-16, -8.608275000000e-03
49, 0.000000000000e+00, 0.000000000000e+00, -2.510746875000e-02, -4.782375000000e+04, 2.344791666012e-11, 5.469513087043e-09, -4.782375000000e+04, 5.298842620248e-09, -1.912950000000e+05, -1.161139351658e-16, 2.813749999214e-18, 6.563415704452e-16, 5.607462844959e-17, 6.358611144298e-16, -8.608275000000e-03
50, 0.000000000000e+00, 0.000000000000e+00, -4.304137500000e-02, -3.188250000000e+04, 3.917321605531e-11, -1.767283022914e-09, -3.188250000001e+04, -9.843756808333e-10, -1.275300000000e+05, -6.085877645237e-17, 4.700785926637e-18, -2.120739627496e-16, -1.715826048290e-16, -1.181250817000e-16, -5.738850000000e-03
51, 3.330362623304e-17, 0.000000000000e+00, -4.304137500000e-02, -3.188250000000e+04, -6.420426703881e-10, 1.403331839253e-09, -3.188250000000e+04, -2.357840966626e-09, -1.275300000000e+05, 2.163238307223e-17, -7.704512044657e-17, 1.683998207103e-16, -1.518498867731e-16, -2.829409159951e-16, -5.738850000000e-03
52, 1.068151944421e-18, 0.000000000000e+00, -4.304137500000e-02, -3.188250000000e+04, -7.995126416546e-11, -7.652649380825e-10, -3.188250000000e+04, -9.905983999157e-10, -1.275300000000e+05, 1.617693500173e-18, -9.594151699855e-18, -9.183179256990e-17, -1.938092919965e-16, -1.188718079899e-16, -5.738850000000e-03
53, -2.607073403241e-17, 0.000000000000e+00, -4.304137500000e-02, -3.188250000000e+04, -1.377583504366e-10, -1.565406872872e-09, -3.188250000000e+04, -1.461904893713e-09, -1.275300000000e+05, 4.841769054004e-18, -1.653100205239e-17, -1.878488247446e-16, -1.526948742256e-16, -1.754285872455e-16, -5.738850000000e-03
54, 0.000000000000e+00, 0.000000000000e+00, -4.304137500000e-02, -3.188250000000e+04, -8.602008409474e-11, 4.012285426819e-09, -3.188250000000e+04, -2.449271674668e-09, -1.275300000000e+05, 4.675085199555e-18, -1.032241009137e-17, 4.814742512183e-16, -1.912136323933e-16, -2.939126009601e-16, -5.738850000000e-03
55, 0.000000000000e+00, 1.325141860589e-16, -4.304137500000e-02, -3.188250000000e+04, -2.257215424629e-09, -1.143772117973e-09, -3.188250000000e+04, 1.999384970537e-09, -1.275300000000e+05, -3.533266233603e-17, -2.708658509555e-16, -1.372526541568e-16, -5.968942416638e-17, 2.399261964644e-16, -5.738850000000e-03
56, 4.142926054712e-17, 1.212160344369e-16, -4.304137500000e-02, -3.188250000000e+04, -3.261103639875e-11, 1.178622504320e-09, -3.188250000000e+04, 2.601371651428e-09, -1.275300000000e+05, 1.485778105492e-17, -3.913324367850e-18, 1.414347005184e-16, -6.866520710790e-17, 3.121645981714e-16, -5.738850000000e-03
57, 1.230360835620e-18, 1.308292035520e-16, -4.304137500000e-02, -3.188250000000e+04, 5.322060425102e-11, -1.750236406050e-10, -3.188250000000e+04, 1.937727090374e-09, -1.275300000000e+05, -1.840421274353e-18, 6.386472510123e-18, -2.100283687260e-17, -7.720987309941e-17, 2.325272508449e-16, -5.738850000000e-03
58, -3.606509330992e-18, 1.244666679737e-16, -4.304137500000e-02, -3.188250000000e+04, 8.726909093298e-11, -1.986048700823e-09, -3.188250000000e+04, 8.481175610893e-10, -1.275300000000e+05, -2.453080033739e-17, 1.047229091196e-17, -2.383258440988e-16, -1.068770403196e-16, 1.017741073307e-16, -5.738850000000e-03
59, 0.000000000000e+00, 1.345681280716e-16, -4.304137500000e-02, -3.188250000000e+04, 2.554806733662e-09, 2.560503785623e-09, -3.188250000000e+04, 1.016520255661e-09, -1.275300000000e+05, 5.835954344968e-17, 3.065768080394e-16, 3.072604542748e-16, -9.629369607902e-17, 1.219824306793e-16, -5.738850000000e-03
60, 0.000000000000e+00, 1.231560159616e-16, -4.304137500000e-02, -3.188250000000e+04, -2.180283886948e-09, 2.940891168435e-10, -3.188250000000e+04, 6.585467579979e-10, -1.275300000000e+05, -4.243847821551e-17, -2.616340664338e-16, 3.529069402122e-17, 2.652491339924e-17, 7.902561095975e-17, -5.738850000000e-03
