NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, TEMPERATURE1, STRESS_XX, STRESS_XY, STRESS_YY, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_YY, STRAIN_ZZ
75, -1.056759810429e-10, 4.957171172552e-11, 2.500002321157e+01, -3.947557737049e-01, 3.085026686129e-01, -2.862219646101e+00, -2.787483660446e+00, 1.322821460914e-09, 3.085026686129e-10, 8.908952471578e-11, 1.264575175432e-10
76, -6.039743807760e-11, -1.180721602548e-10, 2.500002383733e+01, -2.701802857949e-01, -2.129206887367e-01, -2.687298378766e+00, -2.845376521892e+00, 1.306306345130e-09, -2.129206887367e-10, 9.774729864440e-11, 1.870822708175e-11
77, -3.895096509913e-12, 1.636590180538e-10, 2.500002187543e+01, -1.901734065553e-01, 1.260310535298e-01, -2.638106132798e+00, -2.859449224164e+00, 1.323573099445e-09, 1.260310535298e-10, 9.960673632340e-11, -1.106480935975e-11
78, 6.518692571901e-11, -1.381660334293e-10, 2.500001906131e+01, -2.004633243857e-01, -1.808076613141e-01, -2.108341400647e+00, -2.400756792071e+00, 1.060706901335e-09, -1.808076613141e-10, 1.067678632047e-10, -3.943983250722e-11
79, 6.543280532160e-11, 8.148352110825e-11, 2.500001981036e+01, -1.699390170426e-01, 3.751897925925e-01, -2.443481510119e+00, -2.805898131125e+00, 1.244196125632e-09, 3.751897925925e-10, 1.074248790940e-10, -7.378343140949e-11
80, -2.874289078732e-10, 5.804798315876e-11, 2.500003531580e+01, -4.595935645618e-01, -6.328919622560e-02, -4.365005009257e+00, -3.960790905480e+00, 2.027490051003e-09, -6.328919622560e-11, 7.478432865541e-11, 2.768913805436e-10
81, 3.301871136211e-10, -9.487401680300e-11, 2.500001642866e+01, -2.668935435401e-01, 1.971984536541e-01, -1.877717504637e+00, -2.647579309819e+00, 9.606235560190e-10, 1.971984536541e-10, 1.552115754707e-10, -2.297193271204e-10
82, -6.303462629031e-10, -1.171191293174e-10, 2.500005343761e+01, -6.892122482120e-01, -1.180566934675e-01, -6.599192919672e+00, -5.584405728921e+00, 2.976053846603e-09, -1.180566934675e-10, 2.106351087318e-11, 5.284571062489e-10
83, -1.171115699210e-11, 1.719597599076e-10, 2.500002545593e+01, -1.697232978160e-01, -4.942113609475e-01, -3.017826387387e+00, -3.474572711705e+00, 1.536726668407e-09, -4.942113609475e-10, 1.126751236214e-10, -1.156980385374e-10
84, 1.452450965340e-10, -1.406666024209e-14, 2.499999999987e+01, -2.345950971533e-02, -1.354093212235e-05, 6.901534777894e-03, -4.119541362659e-03, -9.665762218995e-12, -1.354093212235e-14, 5.514760027616e-12, 4.221957339412e-15
