#Dirchilet BC  (from fault_mech_LIQUID_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  231
#Node index, name, x, y, z,   value: 
3366   2.705373088986e+02 0.000000000000e+00 -7.874258219336e+02 1.000000000000e+08
3367   2.663959891769e+02 0.000000000000e+00 -7.885305842068e+02 1.000000000000e+08
3368   2.696455894500e+02 0.000000000000e+00 -7.924830232379e+02 1.000000000000e+08
3891   2.871627009013e+02 0.000000000000e+00 -7.155202414005e+02 1.000000000000e+08
3895   2.889461397986e+02 0.000000000000e+00 -7.054058387920e+02 1.000000000000e+08
4133   2.671462654480e+02 0.000000000000e+00 -8.014926286703e+02 1.000000000000e+08
4134   2.687538700013e+02 0.000000000000e+00 -7.975402245422e+02 1.000000000000e+08
4135   2.638966651750e+02 0.000000000000e+00 -7.975401896392e+02 1.000000000000e+08
4136   2.728951897230e+02 0.000000000000e+00 -7.964354622689e+02 1.000000000000e+08
4139   2.746786286203e+02 0.000000000000e+00 -7.863210596604e+02 1.000000000000e+08
4140   2.714290283472e+02 0.000000000000e+00 -7.823686206293e+02 1.000000000000e+08
4141   2.722503716314e+02 0.000000000000e+00 -7.780989274105e+02 1.000000000000e+08
4142   2.681090519097e+02 0.000000000000e+00 -7.792036896837e+02 1.000000000000e+08
4143   2.764620675176e+02 0.000000000000e+00 -7.762066570518e+02 1.000000000000e+08
4146   2.782455064149e+02 0.000000000000e+00 -7.660922544433e+02 1.000000000000e+08
4147   2.749255299773e+02 0.000000000000e+00 -7.629273234977e+02 1.000000000000e+08
4148   2.751471747563e+02 0.000000000000e+00 -7.580938572705e+02 1.000000000000e+08
4149   2.709354788702e+02 0.000000000000e+00 -7.599861276292e+02 1.000000000000e+08
4150   2.800289453122e+02 0.000000000000e+00 -7.559778518347e+02 1.000000000000e+08
4153   2.818123842094e+02 0.000000000000e+00 -7.458634492262e+02 1.000000000000e+08
4154   2.778223331023e+02 0.000000000000e+00 -7.429222533577e+02 1.000000000000e+08
4155   2.776693944672e+02 0.000000000000e+00 -7.367487090771e+02 1.000000000000e+08
4156   2.727876239114e+02 0.000000000000e+00 -7.388647145129e+02 1.000000000000e+08
4157   2.835958231067e+02 0.000000000000e+00 -7.357490466176e+02 1.000000000000e+08
4160   2.853792620040e+02 0.000000000000e+00 -7.256346440091e+02 1.000000000000e+08
4161   2.803445528131e+02 0.000000000000e+00 -7.215771051643e+02 1.000000000000e+08
4162   2.823320699139e+02 0.000000000000e+00 -7.155202151904e+02 1.000000000000e+08
4163   2.764056412743e+02 0.000000000000e+00 -7.165198776499e+02 1.000000000000e+08
4164   2.832237893625e+02 0.000000000000e+00 -7.104630138862e+02 1.000000000000e+08
4165   2.792848778237e+02 0.000000000000e+00 -7.054057863718e+02 1.000000000000e+08
4166   2.841155088111e+02 0.000000000000e+00 -7.054058125819e+02 1.000000000000e+08
4167   2.850072282598e+02 0.000000000000e+00 -7.003486112776e+02 1.000000000000e+08
0  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
90  PRESSURE1 9.000000000000e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
91  PRESSURE1 8.808510638298e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
92  PRESSURE1 8.617021276596e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
93  PRESSURE1 8.425531914894e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
94  PRESSURE1 8.234042553191e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
95  PRESSURE1 8.042553191489e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
96  PRESSURE1 7.851063829787e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
97  PRESSURE1 7.659574468085e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
98  PRESSURE1 7.468085106383e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
99  PRESSURE1 7.276595744681e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
100  PRESSURE1 7.085106382979e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
101  PRESSURE1 6.893617021277e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
102  PRESSURE1 6.702127659574e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
103  PRESSURE1 6.510638297872e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
104  PRESSURE1 6.319148936170e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
105  PRESSURE1 6.127659574468e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
106  PRESSURE1 5.936170212766e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
107  PRESSURE1 5.744680851064e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
108  PRESSURE1 5.553191489362e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
109  PRESSURE1 5.361702127660e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
110  PRESSURE1 5.170212765957e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
111  PRESSURE1 4.978723404255e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
112  PRESSURE1 4.787234042553e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
113  PRESSURE1 4.595744680851e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
114  PRESSURE1 4.404255319149e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
115  PRESSURE1 4.212765957447e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
116  PRESSURE1 4.021276595745e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
117  PRESSURE1 3.829787234043e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
118  PRESSURE1 3.638297872340e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
119  PRESSURE1 3.446808510638e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
120  PRESSURE1 3.255319148936e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
121  PRESSURE1 3.063829787234e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
122  PRESSURE1 2.872340425532e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
123  PRESSURE1 2.680851063830e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
124  PRESSURE1 2.489361702128e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
125  PRESSURE1 2.297872340426e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
126  PRESSURE1 2.106382978723e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
127  PRESSURE1 1.914893617021e+02 0.000000000000e+00 -3.000000000000e+02 3.000000000000e+06
