#Dirchilet BC  (from fault_mech_DEFORMATION_BC_ST.asc.bc file) 
#Total BC nodes  291
#Node index, name, x, y, z,   value: 
2089  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.434628048157e+02 0.000000000000e+00
2090  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -9.239694036343e+02 0.000000000000e+00
2481  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
2482  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.179882002853e+03 0.000000000000e+00
2483  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.159764005707e+03 0.000000000000e+00
2484  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.139646008560e+03 0.000000000000e+00
2485  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -1.119528011413e+03 0.000000000000e+00
4245  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.914601449788e+02 0.000000000000e+00
4252  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.094019401606e+02 0.000000000000e+00
4276  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.282058204818e+02 0.000000000000e+00
4282  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.726562646576e+02 0.000000000000e+00
4579  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.470097008030e+02 0.000000000000e+00
4583  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.658135811242e+02 0.000000000000e+00
4587  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -3.846174614455e+02 0.000000000000e+00
4591  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.034213417667e+02 0.000000000000e+00
4595  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.222252220879e+02 0.000000000000e+00
4599  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.410291024091e+02 0.000000000000e+00
4603  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.598329827303e+02 0.000000000000e+00
4607  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.786368630515e+02 0.000000000000e+00
4611  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -4.974407433727e+02 0.000000000000e+00
4615  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.162446236940e+02 0.000000000000e+00
4619  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.350485040152e+02 0.000000000000e+00
4623  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -5.538523843364e+02 0.000000000000e+00
7608  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.914637099358e+02 0.000000000000e+00
7610  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.108937496024e+02 0.000000000000e+00
7629  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.714003810099e+02 0.000000000000e+00
7638  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -6.309570785283e+02 0.000000000000e+00
8218  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.513370520840e+02 0.000000000000e+00
8223  DISPLACEMENT_X1 9.000000000000e+02 0.000000000000e+00 -7.312737231580e+02 0.000000000000e+00
