"TIME", "TEMPERATURE1"
4.700000000000e+05, 2.670971398064e+01
4.710000000000e+05, 2.671473137384e+01
4.720000000000e+05, 2.671974809447e+01
4.730000000000e+05, 2.672476413288e+01
4.740000000000e+05, 2.672977947955e+01
4.750000000000e+05, 2.673479412501e+01
4.760000000000e+05, 2.673980805988e+01
4.770000000000e+05, 2.674482127484e+01
4.780000000000e+05, 2.674983376066e+01
4.790000000000e+05, 2.675484550819e+01
4.800000000000e+05, 2.675985650835e+01
4.810000000000e+05, 2.676486675213e+01
4.820000000000e+05, 2.676987623059e+01
4.830000000000e+05, 2.677488493488e+01
4.840000000000e+05, 2.677989285622e+01
4.850000000000e+05, 2.678489998587e+01
4.860000000000e+05, 2.678990631520e+01
4.870000000000e+05, 2.679491183563e+01
4.880000000000e+05, 2.679991653866e+01
4.890000000000e+05, 2.680492041585e+01
4.900000000000e+05, 2.680992345884e+01
4.910000000000e+05, 2.681492565931e+01
4.920000000000e+05, 2.681992700905e+01
4.930000000000e+05, 2.682492749988e+01
4.940000000000e+05, 2.682992712370e+01
4.950000000000e+05, 2.683492587248e+01
4.960000000000e+05, 2.683992373825e+01
4.970000000000e+05, 2.684492071310e+01
4.980000000000e+05, 2.684991678919e+01
4.990000000000e+05, 2.685491195873e+01
5.000000000000e+05, 2.685990621402e+01
5.010000000000e+05, 2.686489954740e+01
5.020000000000e+05, 2.686989195126e+01
5.030000000000e+05, 2.687488341809e+01
5.040000000000e+05, 2.687987394040e+01
5.050000000000e+05, 2.688486351079e+01
5.060000000000e+05, 2.688985212189e+01
5.070000000000e+05, 2.689483976642e+01
5.080000000000e+05, 2.689982643713e+01
5.090000000000e+05, 2.690481212685e+01
5.100000000000e+05, 2.690979682845e+01
5.110000000000e+05, 2.691478053486e+01
5.120000000000e+05, 2.691976323908e+01
5.130000000000e+05, 2.692474493416e+01
5.140000000000e+05, 2.692972561318e+01
5.150000000000e+05, 2.693470526932e+01
5.160000000000e+05, 2.693968389576e+01
5.170000000000e+05, 2.694466148579e+01
5.180000000000e+05, 2.694963803271e+01
5.190000000000e+05, 2.695461352990e+01
5.200000000000e+05, 2.695958797077e+01
5.210000000000e+05, 2.696456134880e+01
5.220000000000e+05, 2.696953365750e+01
5.230000000000e+05, 2.697450489047e+01
5.240000000000e+05, 2.697947504131e+01
5.250000000000e+05, 2.698444410372e+01
5.260000000000e+05, 2.698941207140e+01
5.270000000000e+05, 2.699437893814e+01
5.280000000000e+05, 2.699934469775e+01
5.290000000000e+05, 2.700430934412e+01
5.300000000000e+05, 2.700927287116e+01
5.310000000000e+05, 2.701423527282e+01
5.320000000000e+05, 2.701919654314e+01
5.330000000000e+05, 2.702415667617e+01
5.340000000000e+05, 2.702911566601e+01
5.350000000000e+05, 2.703407350682e+01
