"TIME", "PRESSURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_YY", "STRESS_ZZ", "STRESS_XY", "STRAIN_XX", "STRAIN_YY", "STRAIN_XY"
7.400000000000e-02, 7.844772170141e+02, -3.841394101636e-08, 0.000000000000e+00, -2.155227829859e+02, -5.388069574648e+01, -5.388069574648e+01, 4.344435682076e-13, -1.939705046873e-07, -1.592745882336e-21, 1.042664563698e-21
7.600000000000e-02, 7.782686178810e+02, -4.024083363515e-08, 0.000000000000e+00, -2.217313821190e+02, -5.543284552974e+01, -5.543284552974e+01, 4.642630233175e-13, -1.995582439071e-07, -1.234007677286e-21, 1.114231255962e-21
7.800000000000e-02, 7.721715864356e+02, -4.207899868837e-08, 0.000000000000e+00, -2.278284135644e+02, -5.695710339111e+01, -5.695710339110e+01, 4.611041088181e-13, -2.050455722080e-07, -1.294030579995e-21, 1.106649861163e-21
8.000000000000e-02, 7.661835428688e+02, -4.392720099028e-08, 0.000000000000e+00, -2.338164571312e+02, -5.845411428279e+01, -5.845411428279e+01, 3.393215047350e-13, -2.104348114180e-07, -1.318927245715e-21, 8.143716113639e-22
8.200000000000e-02, 7.603017949596e+02, -4.578428730862e-08, 0.000000000000e+00, -2.396982050404e+02, -5.992455126011e+01, -5.992455126011e+01, 3.852574483555e-13, -2.157283845364e-07, -1.124464458718e-21, 9.246178760532e-22
8.400000000000e-02, 7.545235739620e+02, -4.764918016187e-08, 0.000000000000e+00, -2.454764260380e+02, -6.136910650951e+01, -6.136910650951e+01, 4.354205567709e-13, -2.209287834342e-07, -1.242654732296e-21, 1.045009336250e-21
8.600000000000e-02, 7.488429606053e+02, -4.952070089602e-08, 0.000000000000e+00, -2.511570393947e+02, -6.278925984868e+01, -6.278925984868e+01, 4.262917378877e-13, -2.260413354552e-07, -1.238115440554e-21, 1.023100170930e-21
8.800000000000e-02, 7.432602166742e+02, -5.139812402003e-08, 0.000000000000e+00, -2.567397833258e+02, -6.418494583145e+01, -6.418494583145e+01, 2.894465385527e-13, -2.310658049932e-07, -1.181524818221e-21, 6.946716925266e-22
9.000000000000e-02, 7.377726897743e+02, -5.328057368266e-08, 0.000000000000e+00, -2.622273102257e+02, -6.555682755642e+01, -6.555682755642e+01, 3.242037757662e-13, -2.360045792031e-07, -1.292402984299e-21, 7.780890618389e-22
9.200000000000e-02, 7.323775647896e+02, -5.516721895009e-08, 0.000000000000e+00, -2.676224352104e+02, -6.690560880261e+01, -6.690560880261e+01, 4.424086972453e-13, -2.408601916894e-07, -1.129374335347e-21, 1.061780873389e-21
9.400000000000e-02, 7.270720443692e+02, -5.705728057556e-08, 0.000000000000e+00, -2.729279556307e+02, -6.823198890769e+01, -6.823198890769e+01, 3.830616362296e-13, -2.456351600677e-07, -1.177546661384e-21, 9.193479269512e-22
9.600000000000e-02, 7.218533706490e+02, -5.895002789120e-08, 0.000000000000e+00, -2.781466293510e+02, -6.953665733775e+01, -6.953665733775e+01, 3.942588774914e-13, -2.503319664159e-07, -1.026816764060e-21, 9.462213059792e-22
9.800000000000e-02, 7.167188352207e+02, -6.084477546348e-08, 0.000000000000e+00, -2.832811647793e+02, -7.082029119482e+01, -7.082029119482e+01, 3.082619259310e-13, -2.549530483013e-07, -1.050426081557e-21, 7.398286222345e-22
1.000000000000e-01, 7.116657866017e+02, -6.274088000100e-08, 0.000000000000e+00, -2.883342133983e+02, -7.208355334958e+01, -7.208355334957e+01, 4.583394261677e-13, -2.595007920585e-07, -1.286239316762e-21, 1.100014622802e-21
